TIME,VALUE
10:12:06,69.79
10:12:07,32.910000000000004
10:12:08,47.09
10:12:09,85.67
10:12:10,28.98
10:12:11,96.82000000000001
10:12:12,49.550000000000004
10:12:13,88.75
10:12:14,56.26
10:12:15,38.5
10:12:16,10.96
10:12:17,68.01
10:12:18,20.96
10:12:19,98.25
10:12:20,57.47
10:12:21,59.08
10:12:22,64.54
10:12:23,6.99
10:12:24,34.09
10:12:25,87.78
10:12:26,18.93
10:12:27,88.08
10:12:28,78.25
10:12:29,58.15
10:12:30,96.60000000000001
10:12:31,43.33
10:12:32,89.04
10:12:33,49.300000000000004
10:12:34,2.3000000000000003
10:12:35,73.67
10:12:36,43.910000000000004
10:12:37,71.87
10:12:38,17.0
10:12:39,83.97
13:00:39,12.290000000000001
13:00:40,33.94
13:00:41,3.38
13:00:42,22.29
